"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5652","Открытие раздела Enterprises и проверка его названия","","Tue Mar 25 17:08:32 GMT 2025","passed","Tue Mar 25 17:08:38 GMT 2025","","openEnterpriseWindow","openEnterpriseWindow","shouldFindSelenideRepositoryAtTheTop"
"","1499","Проверка названия исходного кода в разделе Soft Assertions","","Tue Mar 25 17:08:31 GMT 2025","passed","Tue Mar 25 17:08:32 GMT 2025","","CheckHaveElements","CheckHaveElements","CheckHaveCode"
"","4327","Проверка имени первого участника репозитория","","Tue Mar 25 17:08:26 GMT 2025","passed","Tue Mar 25 17:08:31 GMT 2025","","CheckHaveElements","CheckHaveElements","solntsevShouldBeTheTopContributor"
"","8100","Поиск репозитория, открытие его страницы и проверка названия","","Tue Mar 25 17:08:38 GMT 2025","passed","Tue Mar 25 17:08:46 GMT 2025","","shouldFindSelenideRepositoryAtTheTop","shouldFindSelenideRepositoryAtTheTop","shouldFindSelenideRepositoryAtTheTop"
